source,target,corr
HLA-DRB5 (3127),HLA-DPB1 (3115),0.814
HLA-DRB5 (3127),HLA-DPA1 (3113),0.87
ZNF28 (7576),ZNF468 (90333),0.804
SLC34A3 (142680),RNF224 (643596),0.875
MT-ND6 (4541),MT-ND5 (4540),0.928
MT-CO2 (4513),MT-CYB (4519),0.829
MT-CO2 (4513),MT-CO1 (4512),0.83
MT-CO2 (4513),MT-ND4 (4538),0.841
MT-CO2 (4513),MT-ATP6 (4508),0.856
MT-CO2 (4513),MT-CO3 (4514),0.838
MT-CO2 (4513),MT-ND4L (4539),0.809
MT-CYB (4519),MT-ND4 (4538),0.81
MT-CYB (4519),MT-ATP6 (4508),0.863
MT-CYB (4519),MT-CO3 (4514),0.823
RPL10A (4736),RPS18 (6222),0.843
MT-ND2 (4536),MT-ND3 (4537),0.839
MT-ND2 (4536),MT-ND4 (4538),0.841
MT-ND2 (4536),MT-ND1 (4535),0.836
MT-ND2 (4536),MT-ATP6 (4508),0.815
MT-CO1 (4512),MT-ND4 (4538),0.84
MT-CO1 (4512),MT-ATP6 (4508),0.828
MT-CO1 (4512),MT-CO3 (4514),0.842
MT-ND4 (4538),MT-ATP6 (4508),0.873
MT-ND4 (4538),MT-ND4L (4539),0.904
MT-ATP6 (4508),MT-CO3 (4514),0.881
MT-ATP6 (4508),MT-ATP8 (4509),0.83
RPL39 (6170),RPL36A (6173),0.821
NOS1AP (9722),C1orf226 (400793),0.954
CSAG1 (158511),MAGEA12 (4111),0.988
CSAG1 (158511),MAGEA3 (4102),0.804
CSAG1 (158511),MAGEA2 (4101),0.819
IQANK1 (642574),ARHGAP8 (23779),0.856
IQANK1 (642574),PRR5-ARHGAP8 (553158),0.815
IQANK1 (642574),C1orf210 (149466),0.848
IQANK1 (642574),LIX1L (128077),-0.816
SYT15 (83849),FO681492.1 (102724488),0.896
HLA-DOA (3111),HLA-DPA1 (3113),0.806
HLA-DMA (3108),HLA-DRA (3122),0.829
HLA-DMA (3108),HLA-DPA1 (3113),0.807
HLA-DMA (3108),HLA-DMB (3109),0.807
PSMB8 (5696),PSMB9 (5698),0.83
HLA-DRA (3122),HLA-DPB1 (3115),0.846
HLA-DRA (3122),HLA-DPA1 (3113),0.912
MSH5 (4439),SAPCD1 (401251),0.913
HLA-C (3107),HLA-B (3106),0.838
SPDYE2 (441273),SPDYE6 (729597),0.852
GOLGA8O (728047),GOLGA8N (643699),0.916
TMEM191C (645426),TMEM191B (728229),0.802
TAS2R19 (259294),TAS2R31 (259290),0.81
ARHGEF35 (445328),CTAGE4 (100128553),0.847
ARHGEF35 (445328),CTAGE8 (100142659),0.847
MAGEA12 (4111),MAGEA3 (4102),0.812
MAGEA12 (4111),MAGEA2 (4101),0.832
LTB4R (1241),LTB4R2 (56413),0.908
TTLL3 (26140),ARPC4-TTLL3 (100526693),0.875
ANG (283),RNASE4 (6038),0.92
MAGEA3 (4102),MAGEA2 (4101),0.871
MAGEA3 (4102),CSAG3 (389903),0.822
CKMT1A (548596),CKMT1B (1159),0.956
C4B (721),C4A (720),0.972
HLA-DPB1 (3115),HLA-DPA1 (3113),0.931
CTAGE4 (100128553),OR2A7 (401427),0.837
RPL36A (6173),RPL36A-HNRNPH2 (100529097),0.852
ARHGAP8 (23779),PRR5-ARHGAP8 (553158),0.912
ARHGAP8 (23779),C1orf210 (149466),0.803
TMEFF1 (8577),MSANTD3-TMEFF1 (100526694),0.831
GNG10 (2790),DNAJC25-GNG10 (552891),0.927
ARPIN (348110),ARPIN-AP3S2 (100526783),0.862
GOLGA8K (653125),GOLGA8H (728498),0.846
CDK3 (1018),TEN1-CDK3 (100529145),0.884
PCDHGA5 (56110),PCDHGA6 (56109),0.841
PCDHGA5 (56110),PCDHGB3 (56102),0.864
PCDHGA6 (56109),PCDHGB3 (56102),0.907
NBPF11 (200030),NBPF12 (149013),0.839
NOTCH2NLA (388677),NBPF14 (25832),0.84
ANXA8L1 (728113),ANXA8 (653145),0.975
MAGEA2 (4101),CSAG3 (389903),0.936
H4C15 (554313),H4C14 (8370),0.865
FP565260.1 (102724159),GATD3B (102724023),0.808
H2BC8 (8339),H2AC8 (3012),0.856
RIMBP3B (440804),RIMBP3 (85376),0.866
