source,target,corr
GTSE1 (51512),TRMU (55687),0.804
ARHGAP15 (55843),PTPRC (5788),0.888
ARHGAP15 (55843),TJP1 (7082),-0.837
ARHGAP15 (55843),RASAL3 (64926),0.85
ARHGAP15 (55843),SASH3 (54440),0.836
ARHGAP15 (55843),ARHGAP9 (64333),0.803
ARHGAP15 (55843),NCKAP1L (3071),0.875
ARHGAP15 (55843),PDE1B (5153),0.811
ARHGAP15 (55843),GMFG (9535),0.829
ARHGAP15 (55843),MYO1G (64005),0.866
ARHGAP15 (55843),CD53 (963),0.886
ARHGAP15 (55843),PTPN7 (5778),0.878
ARHGAP15 (55843),TNFAIP8L2 (79626),0.827
ARHGAP15 (55843),KLHL6 (89857),0.845
ARHGAP15 (55843),P2RY8 (286530),0.811
ARHGAP15 (55843),IKZF1 (10320),0.878
ARHGAP15 (55843),ARHGAP30 (257106),0.81
MKRN2 (23609),RAF1 (5894),0.81
FAM76B (143684),CEP57 (9702),0.833
CDH17 (1015),HNF4A (3172),0.827
CDH17 (1015),MYO1A (4640),0.804
CDH17 (1015),LGALS4 (3960),0.804
DCT (1638),SOX10 (6663),0.829
DCT (1638),MLANA (2315),0.879
DCT (1638),PLP1 (5354),0.83
DCT (1638),SLC45A2 (51151),0.823
DCT (1638),PMEL (6490),0.805
DCT (1638),SLC24A5 (283652),0.881
SRCAP (10847),SETD1A (9739),0.831
CXCL2 (2920),CXCL3 (2921),0.808
COL4A4 (1286),COL4A3 (1285),0.889
PTPRC (5788),RASAL3 (64926),0.811
PTPRC (5788),SASH3 (54440),0.833
PTPRC (5788),NCKAP1L (3071),0.851
PTPRC (5788),MYO1G (64005),0.868
PTPRC (5788),CD53 (963),0.86
PTPRC (5788),PTPN7 (5778),0.846
PTPRC (5788),TNFAIP8L2 (79626),0.807
PTPRC (5788),NLRC3 (197358),0.811
PTPRC (5788),KLHL6 (89857),0.84
PTPRC (5788),IKZF1 (10320),0.861
GRHL2 (79977),ESRP2 (80004),0.851
GRHL2 (79977),ESRP1 (54845),0.867
GRHL2 (79977),IRF6 (3664),0.863
GRHL2 (79977),OVOL2 (58495),0.831
GRHL2 (79977),PRRG2 (5639),0.847
GRHL2 (79977),CRB3 (92359),0.801
GRHL2 (79977),RAB25 (57111),0.916
GRHL2 (79977),MARVELD3 (91862),0.903
GRHL2 (79977),CBLC (23624),0.82
GRHL2 (79977),CNKSR1 (10256),0.81
GRHL2 (79977),NECTIN4 (81607),0.813
GRHL2 (79977),EPHA1 (2041),0.824
GRHL2 (79977),MAL2 (114569),0.801
GRHL2 (79977),ST14 (6768),0.805
GRHL2 (79977),MPZL2 (10205),0.809
GRHL2 (79977),PROM2 (150696),0.834
GRHL2 (79977),LAD1 (3898),0.847
GRHL2 (79977),BICDL2 (146439),0.901
GRHL2 (79977),CDS1 (1040),0.843
GRHL2 (79977),SPINT1 (6692),0.82
GRHL2 (79977),TMC4 (147798),0.834
GRHL2 (79977),CDC42BPG (55561),0.845
GRHL2 (79977),OVOL1 (5017),0.87
GRHL2 (79977),KDF1 (126695),0.894
GRHL2 (79977),TMEM125 (128218),0.867
GRHL2 (79977),CLDN7 (1366),0.849
GRHL2 (79977),TMEM30B (161291),0.864
GRHL2 (79977),C6orf132 (647024),0.804
GRHL2 (79977),S100A14 (57402),0.828
GRHL2 (79977),IQANK1 (642574),0.905
GRHL2 (79977),RNF223 (401934),0.806
GRHL2 (79977),ARHGAP8 (23779),0.827
GRHL2 (79977),C1orf210 (149466),0.856
GRHL2 (79977),LIX1L (128077),-0.824
ZNF324 (25799),ZNF324B (388569),0.811
CTTN (2017),SASH3 (54440),-0.802
CTTN (2017),P2RY8 (286530),-0.809
CTTN (2017),IKZF1 (10320),-0.828
CTTN (2017),RCSD1 (92241),-0.801
CHERP (10523),SAFB (6294),0.805
CHGB (1114),SYP (6855),0.801
CHGB (1114),RUNDC3A (10900),0.823
CHGB (1114),CHRNB2 (1141),0.845
FXYD3 (5349),S100A14 (57402),0.814
CMTM1 (113540),CKLF-CMTM1 (100529251),0.845
THPO (7066),CHRD (8646),0.841
KIF4A (24137),CENPI (2491),0.811
IL12RB1 (3594),RASAL3 (64926),0.805
IL12RB1 (3594),CD53 (963),0.809
IL12RB1 (3594),IKZF1 (10320),0.807
IL12RB1 (3594),ARHGAP30 (257106),0.811
WASHC2A (387680),WASHC2C (253725),0.849
SETD1A (9739),HCFC1 (3054),0.834
HNRNPM (4670),HNRNPU (3192),0.827
MISP (126353),ESRP2 (80004),0.801
MISP (126353),ELF3 (1999),0.804
MISP (126353),MST1R (4486),0.805
SOX10 (6663),ROPN1B (152015),0.873
SOX10 (6663),MLANA (2315),0.801
SOX10 (6663),PLP1 (5354),0.921
SOX10 (6663),S100B (6285),0.92
SOX10 (6663),SLC24A5 (283652),0.828
SOX10 (6663),MIA (8190),0.814
RPL3 (6122),RPS9 (6203),0.839
RPL3 (6122),RPL10A (4736),0.86
NCF4 (4689),MYO1G (64005),0.801
NCF4 (4689),TNFAIP8L2 (79626),0.86
CHGA (1113),CELF4 (56853),0.81
CHGA (1113),SCG3 (29106),0.876
CHGA (1113),RUNDC3A (10900),0.828
CHGA (1113),KCNC1 (3746),0.809
CHGA (1113),UNC79 (57578),0.831
CHGA (1113),CELF3 (11189),0.874
CHGA (1113),CHRNB2 (1141),0.872
CHGA (1113),BSN (8927),0.815
CHGA (1113),CDK5R2 (8941),0.846
HNF4A (3172),VIL1 (7429),0.863
HNF4A (3172),HNF1A (6927),0.863
HNF4A (3172),EPS8L3 (79574),0.874
CELF4 (56853),SCG3 (29106),0.817
CELF4 (56853),UNC79 (57578),0.813
CELF4 (56853),CHRNB2 (1141),0.805
SYP (6855),SCG3 (29106),0.804
SYP (6855),RUNDC3A (10900),0.815
SYP (6855),CHRNB2 (1141),0.855
SYP (6855),BSN (8927),0.847
ARMCX3 (51566),ARMCX6 (54470),0.869
CORO1A (11151),IKZF1 (10320),0.808
ELMO3 (79767),RAB25 (57111),0.802
ELMO3 (79767),IQANK1 (642574),0.81
ESRP2 (80004),ESRP1 (54845),0.808
ESRP2 (80004),IRF6 (3664),0.804
ESRP2 (80004),EPCAM (4072),0.854
ESRP2 (80004),OVOL2 (58495),0.801
ESRP2 (80004),PRRG2 (5639),0.821
ESRP2 (80004),CRB3 (92359),0.855
ESRP2 (80004),ARHGEF16 (27237),0.806
ESRP2 (80004),RAB25 (57111),0.842
ESRP2 (80004),MARVELD3 (91862),0.893
ESRP2 (80004),GRB7 (2886),0.812
ESRP2 (80004),CNKSR1 (10256),0.853
ESRP2 (80004),MAL2 (114569),0.845
ESRP2 (80004),MARVELD2 (153562),0.87
ESRP2 (80004),LAD1 (3898),0.858
ESRP2 (80004),BICDL2 (146439),0.837
ESRP2 (80004),ELF3 (1999),0.811
ESRP2 (80004),CDS1 (1040),0.817
ESRP2 (80004),MST1R (4486),0.811
ESRP2 (80004),SPINT1 (6692),0.835
ESRP2 (80004),TMC4 (147798),0.821
ESRP2 (80004),CDC42BPG (55561),0.827
ESRP2 (80004),KRT19 (3880),0.801
ESRP2 (80004),KDF1 (126695),0.873
ESRP2 (80004),TMEM125 (128218),0.833
ESRP2 (80004),CLDN7 (1366),0.865
ESRP2 (80004),PKP3 (11187),0.824
ESRP2 (80004),C6orf132 (647024),0.813
ESRP2 (80004),CLDN4 (1364),0.818
ESRP2 (80004),IQANK1 (642574),0.879
ESRP2 (80004),ARHGAP8 (23779),0.824
ESRP2 (80004),C1orf210 (149466),0.841
HAGHL (84264),CCDC78 (124093),0.84
SLC7A5 (8140),SLC3A2 (6520),0.801
NOMO1 (23420),NOMO2 (283820),0.819
CD276 (80381),FKBP9 (11328),0.826
CD276 (80381),IKZF1 (10320),-0.811
TJP1 (7082),RASAL3 (64926),-0.846
TJP1 (7082),NCKAP1L (3071),-0.848
TJP1 (7082),CD53 (963),-0.841
TJP1 (7082),PTPN7 (5778),-0.826
TJP1 (7082),KLHL6 (89857),-0.814
TJP1 (7082),IKZF1 (10320),-0.854
SCG3 (29106),RUNDC3A (10900),0.84
SCG3 (29106),KCNC1 (3746),0.806
SCG3 (29106),UNC79 (57578),0.856
SCG3 (29106),CELF3 (11189),0.872
SCG3 (29106),CHRNB2 (1141),0.904
SCG3 (29106),BSN (8927),0.846
SCG3 (29106),CDK5R2 (8941),0.854
ESRP1 (54845),IRF6 (3664),0.824
ESRP1 (54845),EPCAM (4072),0.815
ESRP1 (54845),OVOL2 (58495),0.859
ESRP1 (54845),PRRG2 (5639),0.813
ESRP1 (54845),RAB25 (57111),0.859
ESRP1 (54845),MARVELD3 (91862),0.873
ESRP1 (54845),ST14 (6768),0.81
ESRP1 (54845),LAD1 (3898),0.815
ESRP1 (54845),BICDL2 (146439),0.83
ESRP1 (54845),SPINT1 (6692),0.829
ESRP1 (54845),TMC4 (147798),0.826
ESRP1 (54845),CDC42BPG (55561),0.823
ESRP1 (54845),KDF1 (126695),0.897
ESRP1 (54845),TMEM125 (128218),0.834
ESRP1 (54845),CLDN7 (1366),0.833
ESRP1 (54845),TMEM30B (161291),0.836
ESRP1 (54845),IQANK1 (642574),0.85
ESRP1 (54845),C1orf210 (149466),0.848
MAP4K1 (11184),RASAL3 (64926),0.861
MAP4K1 (11184),CD48 (962),0.833
MAP4K1 (11184),IRAG2 (4033),0.816
MAP4K1 (11184),SASH3 (54440),0.822
MAP4K1 (11184),NCKAP1L (3071),0.802
MAP4K1 (11184),CD53 (963),0.85
MAP4K1 (11184),KLHL6 (89857),0.832
MAP4K1 (11184),P2RY8 (286530),0.838
MAP4K1 (11184),IKZF1 (10320),0.885
MAP4K1 (11184),ARHGAP30 (257106),0.87
MAP4K1 (11184),RCSD1 (92241),0.807
LHB (3972),AC008687.4 (101059948),0.879
DOT1L (84444),SAFB (6294),0.809
LYL1 (4066),TNFAIP8L2 (79626),0.805
RASAL3 (64926),CD48 (962),0.83
RASAL3 (64926),SASH3 (54440),0.843
RASAL3 (64926),FKBP9 (11328),-0.806
RASAL3 (64926),ARHGAP9 (64333),0.842
RASAL3 (64926),NCKAP1L (3071),0.869
RASAL3 (64926),PDE1B (5153),0.816
RASAL3 (64926),GMFG (9535),0.859
RASAL3 (64926),MYO1G (64005),0.84
RASAL3 (64926),CD53 (963),0.908
RASAL3 (64926),PTPN7 (5778),0.897
